group,start,end,n_obs,dof,hac_lags,coefficient,estimate,se_hac,t_hac,ci_low,ci_high
rolling_16,2019-07-02,2023-07-03,16,9,2,CMA,-0.1733427098999209,0.35760737342628307,-0.4847291269167682,-0.8742531618154357,0.527567742015594
rolling_16,2019-07-02,2023-07-03,16,9,2,Mom,-0.017197428042729737,0.12319115902700709,-0.13959953115596194,-0.2586520997356636,0.22425724365020416
rolling_16,2019-10-02,2023-10-02,16,9,2,alpha,0.009665345444969943,0.00990835129017333,0.9754746437538615,-0.009755023083769786,0.029085713973709675
rolling_16,2019-10-02,2023-10-02,16,9,2,Mkt-RF,0.9499627827100461,0.0809416605008651,11.73638861411662,0.7913171281283505,1.1086084372917417
rolling_16,2019-10-02,2023-10-02,16,9,2,SMB,0.18424837074254288,0.2487533986691462,0.7406868478110803,-0.3033082906489837,0.6718050321340694
rolling_16,2019-10-02,2023-10-02,16,9,2,HML,0.16482399196785225,0.27768576575673126,0.5935629848317381,-0.37944010891534097,0.7090880928510455
rolling_16,2019-10-02,2023-10-02,16,9,2,RMW,0.3773250788025969,0.21858511251151413,1.7262158180270444,-0.051101741719970784,0.8057518993251647
rolling_16,2019-10-02,2023-10-02,16,9,2,CMA,-0.02006278610412135,0.3439042508505608,-0.058338290540175315,-0.6941151177712206,0.6539895455629778
rolling_16,2019-10-02,2023-10-02,16,9,2,Mom,-0.010391385131848063,0.11767763476103846,-0.08830382385700801,-0.24103954926348345,0.22025677899978732
rolling_16,2020-01-02,2024-01-02,16,9,2,alpha,0.009587317272833514,0.007959232548780917,1.2045529784529243,-0.006012778522777082,0.02518741306844411
rolling_16,2020-01-02,2024-01-02,16,9,2,Mkt-RF,0.9621968772061643,0.09441654718741938,10.190977173695812,0.7771404447188224,1.1472533096935063
rolling_16,2020-01-02,2024-01-02,16,9,2,SMB,0.16390045443602028,0.23036287635350483,0.7114881400617076,-0.2876107832168492,0.6154116920888897
rolling_16,2020-01-02,2024-01-02,16,9,2,HML,0.2120294959241868,0.248082821271619,0.8546722213064547,-0.2742128337681864,0.69827182561656
rolling_16,2020-01-02,2024-01-02,16,9,2,RMW,0.3512800651038064,0.19399858626006344,1.8107351804765235,-0.028957163965917965,0.7315172941735307
rolling_16,2020-01-02,2024-01-02,16,9,2,CMA,-0.07101980082924847,0.2959055973264543,-0.24000830491522177,-0.6509947715890989,0.5089551699306019
rolling_16,2020-01-02,2024-01-02,16,9,2,Mom,0.014055985694093644,0.1047819516802577,0.13414510293705453,-0.19131663959921144,0.21942861098739871
rolling_16,2020-04-02,2024-04-02,16,9,2,alpha,0.0018348050610350697,0.015777684023453375,0.11629115263733572,-0.029089455624933543,0.032759065747003685
rolling_16,2020-04-02,2024-04-02,16,9,2,Mkt-RF,1.0915498933067782,0.12905653881544668,8.457920097080207,0.8385990772285028,1.3445007093850536
rolling_16,2020-04-02,2024-04-02,16,9,2,SMB,0.026538095959263167,0.24294573284403745,0.10923466590088118,-0.4496355404150502,0.5027117323335766
rolling_16,2020-04-02,2024-04-02,16,9,2,HML,0.47218230081864043,0.3257225756188058,1.449645606914385,-0.16623394739421893,1.1105985490314998
rolling_16,2020-04-02,2024-04-02,16,9,2,RMW,0.3729044575438226,0.21538485045792014,1.7313402347054914,-0.04924984935370086,0.795058764441346
rolling_16,2020-04-02,2024-04-02,16,9,2,CMA,-0.31557592297514264,0.3696776943855412,-0.8536515125687426,-1.0401442039708033,0.4089923580205181
rolling_16,2020-04-02,2024-04-02,16,9,2,Mom,0.02389801953308003,0.10336807231724264,0.23119343330439224,-0.17870340220871556,0.2264994412748756
