symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
PVN,,,0,2000-01-03,2005-09-30,1445,,,0,,,0
PVT,,,0,,,0,,,0,,,0
PWER,,,0,,,0,,,0,,,0
PWJ,,,0,2000-01-03,2015-12-31,2229,,,0,,,0
PWR,1998-02-12,2015-12-31,4501,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-06,950,,,0
PX,,,0,,,0,,,0,2009-04-29,2015-10-29,1210
PXD,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-12,2015-11-03,715
PYPL,2015-07-06,2015-12-31,126,2015-07-06,2015-12-31,126,2015-07-29,2015-10-29,63,,,0
PZE,,,0,,,0,,,0,,,0
Q,,,0,2003-09-10,2015-12-31,2572,,,0,,,0
QCOM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-22,2015-11-04,943,,,0
QEP,,,0,2010-06-16,2015-12-31,1397,,,0,2011-07-29,2015-10-28,570
QLGC,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-02,2015-10-29,778
QRVO,2015-01-02,2015-12-31,252,2000-01-03,2015-12-31,4025,2014-09-12,2015-11-12,157,,,0
QTRN,,,0,2000-01-03,2003-09-25,937,,,0,,,0
R,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-23,2015-10-22,523,,,0
RAD,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
RAI,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-31,2015-10-27,954
RAL,,,0,2000-01-03,2015-12-31,1965,,,0,,,0
RATL,,,0,2000-01-03,2003-02-20,786,,,0,,,0
RBD,,,0,,,0,,,0,,,0
RBK,,,0,2000-01-03,2006-01-31,1528,,,0,,,0
RCL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-04-29,2015-10-23,793,,,0
RDC,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-10,2015-11-03,821
RDS-A,,,0,,,0,,,0,,,0
REGN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-28,2015-11-04,653,,,0
RF,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-05,554,,,0
RHI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-02,2015-11-02,614,,,0
RHT,,,0,2000-01-03,2015-12-31,4025,,,0,2010-10-08,2015-10-07,1091
RIG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2009-08-14,2015-11-04,1154
RL,1997-06-12,2015-12-31,4670,2000-01-03,2015-12-31,4025,2010-08-10,2015-11-05,714,,,0
RLM,,,0,,,0,,,0,,,0
RML,,,0,2000-01-03,2015-12-15,4014,,,0,,,0
RNB,,,0,,,0,,,0,,,0
ROH,,,0,2000-01-03,2009-04-01,2325,,,0,,,0
ROK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-11-17,964,,,0
ROP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-17,2015-11-03,937,,,0
ROST,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-06-09,2015-12-09,724,,,0
