year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,selected_source,coverage_status,price_attribution,price_source_status,terminal_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,membership_exit_next_365d
2014,2014-06-30,AET,0001122304,cik:0001122304,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,6324,False
2014,2014-06-30,AFL,0000004977,cik:0000004977,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,3.824805750548555e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1999-05-28,2016-01-01,source_boundary,6321,False
2014,2014-06-30,AGN,,,,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,True,,ticker_recycled,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,,False
2014,2014-06-30,AIG,0000005272,cik:0000005272,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.4198585197721115e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,6331,False
2014,2014-06-30,AIV,0000922864,cik:0000922864,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,divergent_overlap,0.008364115533963311,False,yahoo,complete,accredited_entity_interval,tier_a,none,2003-03-14,2016-01-01,source_boundary,6798,False
2014,2014-06-30,AIZ,0001267238,cik:0001267238,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.8936513523004634e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2007-04-10,2016-01-01,source_boundary,6321,False
2014,2014-06-30,AKAM,0001086222,cik:0001086222,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,0.00010090596607833736,False,yahoo,complete,accredited_entity_interval,tier_a,none,2007-07-12,2016-01-01,source_boundary,7389,False
2014,2014-06-30,ALL,0000899051,cik:0000899051,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.306387641428654e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,6331,False
2014,2014-06-30,ALLE,0001579241,cik:0001579241,corroborated_candidate,253,154,2013-11-18,2014-06-30,154,2013-11-18,2014-06-30,153,consistent_overlap,2.409850431188686e-06,False,,incomplete_prices,legacy_symbol_unattributed,excluded,none,2013-12-02,2016-01-01,source_boundary,7381,False
2014,2014-06-30,ALTR,0000768251,cik:0000768251,corroborated_candidate,253,0,,,0,,,0,insufficient_overlap,,False,,incomplete_prices,legacy_symbol_unattributed,excluded,none,2000-04-18,2015-12-28,exit,3674,False
