symbol,cik,historical_name,sha256,accession,filed_date,source_url,candidate_status,member_in_fja
SUN,0000095304,SUNOCO INC,5a4370fd735f42f0477597107936fc0a32f03d40728df89bde7d5fc7ec8c946b,0001193125-12-332203,2012-08-02,https://www.sec.gov/Archives/edgar/data/95304/000119312512332203/sun-20120630.xml,agrees,True
TE,0000350563,,1a037533f41320a0b2edd633807010b3d99dfcabf53ac91884c7bd30e0f4c37d,0001193125-12-333651,2012-08-03,https://www.sec.gov/Archives/edgar/data/350563/000119312512333651/te-20120630.xml,agrees,True
POM,0001135971,,a70721a9530690559a92aaa6e4371bb644d6e3c83e24ab0d9b69918e0a5001ac,0001193125-12-338604,2012-08-07,https://www.sec.gov/Archives/edgar/data/1135971/000119312512338604/pom-20120630.xml,agrees,True
SE,0001373835,SPECTRA ENERGY CORP.,5cbac312e1befb33b4db613ea1f078acceaa7b495211b4edfcadaa4c16f19568,0001193125-12-343720,2012-08-08,https://www.sec.gov/Archives/edgar/data/1373835/000119312512343720/se-20120630.xml,agrees,True
BEAM,0000789073,BEAM INC,f973e1673f7190f60fbfff0939c32f9ac53f7527422e2f3bc04724e22178b97c,0001193125-12-346751,2012-08-09,https://www.sec.gov/Archives/edgar/data/789073/000119312512346751/beam-20120630.xml,agrees,True
YHOO,0001011006,YAHOO INC,f864b1451dc2f97f57eee280ae0ebff7b31b19c3b9abcf621921b64bf583d6a3,0001193125-12-347578,2012-08-09,https://www.sec.gov/Archives/edgar/data/1011006/000119312512347578/yhoo-20120630.xml,agrees,False
DV,0000730464,DEVRY INC,6fd8454f528fada3958ed22624979116f0343ca6bdc0d5ed4be515c0c4d1c69c,0001193125-12-372041,2012-08-28,https://www.sec.gov/Archives/edgar/data/730464/000119312512372041/dv-20120630.xml,agrees,False
HSH,0000023666,Hillshire Brands Co,77f11f77963e08466f9936d7b8ae23116ebf8d8ab8c35d691bd64fc426ef6556,0001193125-12-392647,2012-09-14,https://www.sec.gov/Archives/edgar/data/23666/000119312512392647/hsh-20120630.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,fc5b71a7c098e08a6e82e439e848349bc6f78352234a9be8bdb5b7dfc910c938,0001193125-12-446835,2012-11-01,https://www.sec.gov/Archives/edgar/data/23666/000119312512446835/hsh-20120929.xml,missing,False
TE,0000350563,,dd6be385a0663d1f1e4619efc29e4ba20589555aa91f4d04931244b758cf2109,0001193125-12-448457,2012-11-02,https://www.sec.gov/Archives/edgar/data/350563/000119312512448457/te-20120930.xml,agrees,True
WPI,0000884629,WATSON PHARMACEUTICALS INC,c9f160b511179aa5e0bc7cf16bfc70294fa33d7a3da4bbca071154b1e313f5d0,0001193125-12-449415,2012-11-02,https://www.sec.gov/Archives/edgar/data/884629/000119312512449415/wpi-20120930.xml,agrees,False
DV,0000730464,DEVRY INC,c8bda8587843f9ef01fa6fe826c9148cec0df6bf95424e6965030511f45faf31,0001193125-12-451729,2012-11-05,https://www.sec.gov/Archives/edgar/data/730464/000119312512451729/dv-20120930.xml,missing,False
POM,0001135971,,af45344034c1cd54660fd067f7118a13b8a9b4c38af4c9257a6ec76ef1864844,0001193125-12-452374,2012-11-06,https://www.sec.gov/Archives/edgar/data/1135971/000119312512452374/pom-20120930.xml,agrees,True
LIFE,0001073431,Life Technologies Corp,dc01d4a6c9dc32cee327d874f4f16c1de578dfc888409c39d9a0c88c2631cd2b,0001193125-12-452514,2012-11-06,https://www.sec.gov/Archives/edgar/data/1073431/000119312512452514/life-20120930.xml,agrees,True
NE,0001458891,Noble Corp / Switzerland,d5721469eb2a1ac330504e16240f91c36af737cc95d2a28791066822cd1279cf,0001193125-12-454596,2012-11-06,https://www.sec.gov/Archives/edgar/data/1458891/000119312512454596/ne-20120930.xml,agrees,True
SE,0001373835,SPECTRA ENERGY CORP.,efc776083221637cf020ef12f4a24dd5d8a640e230015c6b5c2f8cc4bcb00a28,0001193125-12-459027,2012-11-08,https://www.sec.gov/Archives/edgar/data/1373835/000119312512459027/se-20120930.xml,agrees,True
BEAM,0000789073,BEAM INC,b35ef80b43380cc0073b46ca138d3e6581f7d1bece3a7e1127a70d00d2af64c3,0001193125-12-460613,2012-11-08,https://www.sec.gov/Archives/edgar/data/789073/000119312512460613/beam-20120930.xml,agrees,True
YHOO,0001011006,YAHOO INC,b12118ecd08a4cdd7441446bd40415739702ed0eb0577129e861d256251778ee,0001193125-12-460641,2012-11-08,https://www.sec.gov/Archives/edgar/data/1011006/000119312512460641/yhoo-20120930.xml,agrees,False
WMIH,0000933136,WMI HOLDINGS CORP.,d12fadc1f0e0c74615975d9c7618c1f72769d90caba736baa3472b3e4214adcb,0001193125-12-463285,2012-11-09,https://www.sec.gov/Archives/edgar/data/933136/000119312512463285/wmih-20120930.xml,missing,False
