year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_symbol,finsaber_symbol,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,sec_first_periodic,sec_delisting,listing_check,yahoo_level,finsaber_level,finsaber_adjustment,yahoo_adjustment,level_ratio,selected_source,source_symbol,coverage_status,history,price_attribution,price_source_status,forward_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,public_float_usd,membership_exit_next_365d
2010,2010-12-31,ARNC,0000004281,cik:0000004281,confirmed_historical_ticker,253,ARNC,ARNC,0,,,0.0,,,0.0,insufficient_overlap,,False,2005-02-18,,,missing,missing,not_assessed,not_assessed,[],,,incomplete_prices,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3350,10000000000.0,False
2010,2010-12-31,ATGE,0000730464,cik:0000730464,confirmed_historical_ticker,253,ATGE,ATGE,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1996-09-24,,,missing,passed,dividends_reconciled,not_assessed,"[1.1504, 1.1937, 1.0469, 0.8105, 1.0187]",finsaber,ATGE,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2009-06-09,2012-10-01,exit,8200,3965876075.0,False
2010,2010-12-31,ATI,0001018963,cik:0001018963,corroborated_candidate,253,ATI,ATI,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,2.26313691557012e-06,False,1996-11-14,,,passed,passed,not_assessed,not_assessed,"[0.9871, 0.9927]",yahoo,ATI,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2015-07-02,exit,3317,4300000000.0,False
2010,2010-12-31,AVB,0000915912,cik:0000915912,corroborated_candidate,253,AVB,AVB,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1996-08-13,2026-08-17,,missing,passed,dividends_reconciled,not_assessed,"[0.7452, 0.8757, 1.111]",finsaber,AVB,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2007-01-10,2016-01-01,source_boundary,6798,4435004264.0,False
2010,2010-12-31,AVP,0000008868,cik:0000008868,corroborated_candidate,253,AVP,AVP,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1994-03-25,2023-08-09,,missing,passed,dividends_reconciled,not_assessed,"[1.0029, 0.001]",finsaber,AVP,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,1996-01-02,2015-03-23,exit,2844,11400000000.0,False
2010,2010-12-31,AVY,0000008818,cik:0000008818,corroborated_candidate,253,AVY,AVY,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.461476376914742e-06,False,1994-03-18,,,passed,passed,not_assessed,not_assessed,[1.1753],yahoo,AVY,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,2670,4117015886.0,False
2010,2010-12-31,AXP,0000004962,cik:0000004962,confirmed_by_multiple_evidence,253,AXP,AXP,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,6.45696605523094e-05,False,2005-03-10,,,passed,passed,not_assessed,not_assessed,"[0.9965, 0.9997]",yahoo,AXP,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,6199,47600000000.0,False
2010,2010-12-31,AYE,0000003673,cik:0000003673,confirmed_by_multiple_evidence,253,AYE,AYE,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,2004-11-04,2011-02-28,,missing,passed,dividends_reconciled,not_assessed,[1.0182],finsaber,AYE,fallback_accredited,full_window,accredited_entity_interval,tier_b,terminal_return_unknown,2000-12-11,2011-02-28,exit,4911,3440110307.0,True
2010,2010-12-31,AZO,0000866787,cik:0000866787,confirmed_by_multiple_evidence,253,AZO,AZO,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,7.621362116072563e-08,False,1998-11-25,,,passed,passed,not_assessed,not_assessed,"[0.9985, 0.6641]",yahoo,AZO,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1997-01-02,2016-01-01,source_boundary,5531,7831536378.0,False
2010,2010-12-31,BA,0000012927,cik:0000012927,corroborated_candidate,253,BA,BA,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,1.8959554774511396e-06,False,2006-02-28,,,passed,passed,not_assessed,not_assessed,"[0.9997, 1.0002]",yahoo,BA,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3721,45900000000.0,False
2010,2010-12-31,BAC,0000070858,cik:0000070858,corroborated_candidate,253,BAC,BAC,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.0001966122218873257,False,2006-03-16,,,passed,passed,not_assessed,not_assessed,"[0.9996, 0.9995]",yahoo,BAC,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,6021,144131140753.0,False
2010,2010-12-31,BAX,0000010456,cik:0000010456,confirmed_by_multiple_evidence,253,BAX,BAX,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,divergent_overlap,0.005581558005821689,False,1994-03-21,,,failed,passed,dividend_mismatch,dividend_mismatch,"[1.0104, 0.9886, 1.0022]",,,sources_divergent_overlap,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3841,29000000000.0,False
2010,2010-12-31,BBBY,0000886158,cik:0000886158,corroborated_candidate,253,BBBY,BBBY,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1996-05-24,2023-07-10,,missing,passed,no_dividends_consistent,not_assessed,"[0.9495, 0.9494]",finsaber,BBBY,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,1999-10-01,2016-01-01,source_boundary,5700,9102640840.0,False
2010,2010-12-31,BBT,0000092230,cik:0000092230,corroborated_candidate,253,BBT,BBT,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,divergent_overlap,0.06609396789642932,False,2007-05-04,,,passed,passed,dividends_reconciled,dividend_mismatch,"[0.9983, 0.9942]",,,sources_divergent_overlap,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,1997-12-04,2016-01-01,source_boundary,6021,18200000000.0,False
2010,2010-12-31,BBY,0000764478,cik:0000764478,corroborated_candidate,253,BBY,BBY,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,6.137628975047661e-05,False,1994-01-06,,,passed,passed,not_assessed,not_assessed,"[0.6943, 0.7349]",yahoo,BBY,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1999-06-30,2016-01-01,source_boundary,5731,8800000000.0,False
2010,2010-12-31,BCR,0000009892,cik:0000009892,confirmed_by_multiple_evidence,253,BCR,BCR,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1994-03-31,2017-12-29,,missing,passed,sec_dividends_unavailable,not_assessed,"[1.0, 1.0]",,,archive_sec_dividends_unavailable,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3841,7260518818.0,False
2010,2010-12-31,BDX,0000010795,cik:0000010795,corroborated_candidate,253,BDX,BDX,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.089034248856539e-06,False,1998-12-16,,,passed,passed,not_assessed,not_assessed,"[0.9976, 1.0, 0.9652, 1.0]",yahoo,BDX,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3841,18688626108.0,False
2010,2010-12-31,BEAM,,,,253,BEAM,BEAM,0,,,0.0,,,0.0,insufficient_overlap,,False,,,,,,,,[],,,identity_unresolved,,legacy_symbol_unattributed,excluded,unknown,1996-01-02,2014-05-01,exit,,,False
2010,2010-12-31,BEN,0000038777,cik:0000038777,corroborated_candidate,253,BEN,BEN,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,4.9079232924531536e-06,False,2007-02-09,,,passed,passed,not_assessed,not_assessed,"[0.6505, 0.6093]",yahoo,BEN,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1998-04-29,2016-01-01,source_boundary,6282,16400000000.0,False
2010,2010-12-31,BF-B,0000014693,cik:0000014693,corroborated_candidate,253,BF-B,BF-B,253,2009-12-31,2010-12-31,0.0,,,0.0,insufficient_overlap,,False,1994-03-04,,,passed,missing,not_assessed,dividend_mismatch,"[1.0613, 0.4111]",yahoo,BF-B,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,2080,9400000000.0,False
2010,2010-12-31,BHGE,,,,253,BHGE,BHGE,0,,,0.0,,,0.0,insufficient_overlap,,False,,,,,,,,[],,,identity_unresolved,,legacy_symbol_unattributed,excluded,unknown,1996-01-02,2016-01-01,source_boundary,,,False
